pta_role,Max Occupants,pta_department
Art Scheduling,1,Enrichment - During School
Art Supplies,1,Enrichment - During School
Book Fair,2,Ways and Means
Bulletin Board Team,5,Communications
Celebration Books,1,Ways and Means
College & Career Week,1,Events
Concessions,2,Events
Dance Week/Spring Dance,2,Volunteers
Event Photographer,2,Volunteers
Fall Carnival,1,Events
Family Night Outs,1,Ways and Means
Game Night,2,Volunteers
Giving Tree,1,Volunteers
Giving and Pajama Drive,1,Volunteers
Heritage and Culture Night,2,Events
Kinder Welcome Committee,2,Communications
Math Adventures,2,Enrichment - During School
Math Challenge,1,Enrichment - During School
Movie Night,1,Events
Newsletter,1,Communications
Popcorn Friday,2,Volunteers
President,1,Exec Board
Room Parent Liaison,1,Volunteers
Running Club,2,Enrichment - During School
Salmon Program,1,Enrichment - During School
School Beautification,1,Volunteers
School Pictures,3,Volunteers
Secretary,1,Exec Board
Social Media Coordinator,2,Communications
Sponsorships,1,Ways and Means
Staff Appreciation,3,Volunteers
STEM Night,1,Events
Talent Show,1,Enrichment - Performing Arts
TEAMs Microsoft Manager,1,Communications
Theater,2,Enrichment - Performing Arts
Traveling Museum,1,Enrichment - During School
Treasurer,1,Exec Board
Unity Week,1,Volunteers
Executive VP,1,Exec Board
VP Communications,1,Exec Board
VP Volunteers,1,Exec Board
VP Enrichment - After School,1,Exec Board
VP Enrichment - During School,1,Exec Board
VP Enrichment - Performing Arts,1,Exec Board
VP Events,1,Exec Board
VP Ways and Means,1,Exec Board
WatchDogs,1,Volunteers
Web Master,1,Communications
Annual Giving Campaign,1,Ways and Means
Yearbook,3,Volunteers
5th Grade Art Club,1,Enrichment - During School
Treasurer,1,Ways and Means
5th Grade Survivor,1,Volunteers
5th Grade Farewell,1,Volunteers
Reflections,1,Enrichment - During School
Art Docent Lead,1,Enrichment - During School
Art Challent / Impressionist Club,1,Enrichment - During School

















